Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
ORB, BRISK, 1, 12.4857, 13.3044, -0.81863
ORB, BRISK, 2, 12.7245, 9.70042, 3.02403
ORB, BRISK, 3, 19.866, 15.8576, 4.00841
ORB, BRISK, 4, 14.0501, 19.2718, -5.22175
ORB, BRISK, 5, 12.5319, 30.2764, -17.7444
ORB, BRISK, 6, 13.8845, 15.1309, -1.24646
ORB, BRISK, 7, 13.4805, 19.2204, -5.73993
ORB, BRISK, 8, 14.0734, 10.9033, 3.17011
ORB, BRISK, 9, 13.0205, 6.50213, 6.5184
ORB, BRISK, 10, 11.9077, 14.7536, -2.84585
ORB, BRISK, 11, 11.2423, 7.80056, 3.44179
ORB, BRISK, 12, 9.69089, 45.3563, -35.6654
ORB, BRISK, 13, 9.61285, 15.1522, -5.5394
ORB, BRISK, 14, 9.1458, 11.0164, -1.87063
ORB, BRISK, 15, 8.38699, 26.5737, -18.1867
ORB, BRISK, 16, 8.96962, 21.6602, -12.6906
ORB, BRISK, 17, 10.9895, 13.442, -2.45249
ORB, BRISK, 18, 8.49633, 52.5272, -44.0309
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
ORB, ORB, 1, 12.4857, 73.5372, -61.0515
ORB, ORB, 2, 12.7245, 7.50151, 5.22294
ORB, ORB, 3, 19.866, 20.3301, -0.46404
ORB, ORB, 4, 14.0501, 25.1615, -11.1115
ORB, ORB, 5, 12.5319, 25.3005, -12.7686
ORB, ORB, 6, 13.8845, -inf, inf
ORB, ORB, 7, 13.4805, 19504, -19490.5
ORB, ORB, 8, 14.0734, 10.1499, 3.92353
ORB, ORB, 9, 13.0205, 11.924, 1.09652
ORB, ORB, 10, 11.9077, 25.628, -13.7203
ORB, ORB, 11, 11.2423, 7.46176, 3.78059
ORB, ORB, 12, 9.69089, 22.4069, -12.716
ORB, ORB, 13, 9.61285, 169.329, -159.716
ORB, ORB, 14, 9.1458, 13.6263, -4.4805
ORB, ORB, 15, 8.38699, 13.594, -5.20697
ORB, ORB, 16, 8.96962, 11.0113, -2.04166
ORB, ORB, 17, 10.9895, 7.59615, 3.39336
ORB, ORB, 18, 8.49633, 18.6402, -10.1438
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
ORB, BRIEF, 1, 12.4857, 16.756, -4.2703
ORB, BRIEF, 2, 12.7245, 23.4252, -10.7007
ORB, BRIEF, 3, 19.866, 55.9521, -36.086
ORB, BRIEF, 4, 14.0501, 13.66, 0.390078
ORB, BRIEF, 5, 12.5319, 25.2426, -12.7107
ORB, BRIEF, 6, 13.8845, 15.9181, -2.03362
ORB, BRIEF, 7, 13.4805, -inf, inf
ORB, BRIEF, 8, 14.0734, 13.3399, 0.733556
ORB, BRIEF, 9, 13.0205, 49.469, -36.4484
ORB, BRIEF, 10, 11.9077, 35.2343, -23.3266
ORB, BRIEF, 11, 11.2423, 14.533, -3.29061
ORB, BRIEF, 12, 9.69089, 10.6821, -0.991183
ORB, BRIEF, 13, 9.61285, 12.946, -3.33315
ORB, BRIEF, 14, 9.1458, 12.5397, -3.39387
ORB, BRIEF, 15, 8.38699, 19.3033, -10.9163
ORB, BRIEF, 16, 8.96962, 14.0278, -5.05814
ORB, BRIEF, 17, 10.9895, 15.0441, -4.05455
ORB, BRIEF, 18, 8.49633, 19.7379, -11.2416
Detector, Descriptor, Frame_ID, LIDAR TTC, CAMERA TTC, TTC ERROR
ORB, SIFT, 1, 12.4857, 12.3672, 0.118561
ORB, SIFT, 2, 12.7245, 9.33601, 3.38845
ORB, SIFT, 3, 19.866, 20.3301, -0.46404
ORB, SIFT, 4, 14.0501, 87.1366, -73.0866
ORB, SIFT, 5, 12.5319, 32.2646, -19.7327
ORB, SIFT, 6, 13.8845, 20.6776, -6.79312
ORB, SIFT, 7, 13.4805, -inf, inf
ORB, SIFT, 8, 14.0734, 8.392, 5.68144
ORB, SIFT, 9, 13.0205, 7.85433, 5.1662
ORB, SIFT, 10, 11.9077, 23.8352, -11.9274
ORB, SIFT, 11, 11.2423, 16.0425, -4.80015
ORB, SIFT, 12, 9.69089, 49.8954, -40.2045
ORB, SIFT, 13, 9.61285, 13.5775, -3.96461
ORB, SIFT, 14, 9.1458, 10.8282, -1.68245
ORB, SIFT, 15, 8.38699, -inf, inf
ORB, SIFT, 16, 8.96962, 9.48983, -0.520204
ORB, SIFT, 17, 10.9895, 8.80918, 2.18034
ORB, SIFT, 18, 8.49633, 6.38855, 2.10778
